matrix_index	method	host_mode	case_name	devices	streams	submit_mode	stream_sync	process_sync	stream_start_gate	blocks	iterations	exit_code	dev_bw_gbps	start_skew_avg_us	group_wall_avg_us	wall_bw_gbps	log	submit_min_us	submit_max_us	submit_avg_us	submit_p50_us	submit_p90_us	copy_min_us	copy_max_us	copy_avg_us	copy_p50_us	copy_p90_us	start_skew_min_us	start_skew_max_us	start_skew_p50_us	start_skew_p90_us	group_wall_min_us	group_wall_max_us	group_wall_p50_us	group_wall_p90_us	log_dev_bw_gbps	log_wall_bw_gbps
77	ce	all	all_host_to_all_device_ce_multi_stream	8	4	round-robin	event	barrier	off	512	128	0	83.678	1	12089	56.87	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_all_d8_s4_round_robin_event.log	2476	3822	3191	3336	3630	7551	9750	8216	8181	8623	1	11	1	1	10973	13343	12072	12430	83.678	56.87
78	ce	all	all_host_to_all_device_ce_multi_stream	8	4	round-robin	stream	barrier	off	512	128	0		1	16637	41.324	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_all_d8_s4_round_robin_stream.log	2513	3327	3008	3003	3172						1	11	1	1	7142	105141	8577	9616		41.324
79	ffts	all	all_host_to_all_device_ffts_direct_h2d	8	4	round-robin	event	barrier	off	512	128	0	158.447	1	4723	145.564	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_all_d8_s4_round_robin_event.log	3688	4734	4113	4117	4333	4297	4720	4339	4332	4361	1	12	1	1	4493	5408	4711	4851	158.447	145.564
80	ffts	all	all_host_to_all_device_ffts_direct_h2d	8	4	round-robin	stream	barrier	off	512	128	0		1	4299	159.921	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_all_d8_s4_round_robin_stream.log	3050	4274	3406	3387	3653						0	4	1	1	4273	4345	4299	4316		159.921
81	ce	one_share	one_share_host_to_all_device_ce_multi_stream	8	16	stream-major	event	barrier	off	512	128	0	46.008	1	23969	28.683	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_one_share_d8_s16_stream_major_event.log	2372	3477	3076	3077	3351	12613	102822	14943	14323	15043	1	16	1	1	19260	102987	23212	26376	46.008	28.683
82	ce	one_share	one_share_host_to_all_device_ce_multi_stream	8	16	stream-major	stream	barrier	off	512	128	0		1	22871	30.06	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_one_share_d8_s16_stream_major_stream.log	2231	4003	2797	2891	3423						1	1	1	1	14594	202836	16555	17721		30.06
83	ffts	one_share	one_share_host_to_all_device_ffts_direct_h2d	8	16	stream-major	event	barrier	off	512	128	0	105.026	1	10089	68.144	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_one_share_d8_s16_stream_major_event.log	1616	2343	1950	1944	2139	6513	6596	6546	6547	6567	1	1	1	1	8590	11591	9993	11185	105.026	68.144
84	ffts	one_share	one_share_host_to_all_device_ffts_direct_h2d	8	16	stream-major	stream	barrier	off	512	128	0		1	6628	103.727	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_one_share_d8_s16_stream_major_stream.log	1492	1810	1634	1634	1705						1	11	1	1	6598	6670	6626	6647		103.727
85	ce	all	all_host_to_all_device_ce_multi_stream	8	16	stream-major	event	barrier	off	512	128	0	92.331	1	14547	47.261	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_all_d8_s16_stream_major_event.log	2187	3686	2680	2707	2894	6502	8261	7446	7442	7849	1	1	1	1	11491	20776	14619	16087	92.331	47.261
86	ce	all	all_host_to_all_device_ce_multi_stream	8	16	stream-major	stream	barrier	off	512	128	0		1	11072	62.094	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_all_d8_s16_stream_major_stream.log	1838	3135	2337	2438	2762						1	7	1	1	7132	104630	8953	9419		62.094
87	ffts	all	all_host_to_all_device_ffts_direct_h2d	8	16	stream-major	event	barrier	off	512	128	0	196.766	1	9121	75.376	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_all_d8_s16_stream_major_event.log	2608	3745	3235	3237	3637	3376	3823	3494	3419	3677	1	21	1	1	7577	11977	9070	10085	196.766	75.376
88	ffts	all	all_host_to_all_device_ffts_direct_h2d	8	16	stream-major	stream	barrier	off	512	128	0		1	3537	194.374	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_all_d8_s16_stream_major_stream.log	1788	3378	3176	3213	3311						1	21	1	1	2961	3699	3573	3642		194.374
89	ce	one_share	one_share_host_to_all_device_ce_multi_stream	8	16	round-robin	event	barrier	off	512	128	0	53.336	1	21748	31.612	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_one_share_d8_s16_round_robin_event.log	2523	3252	2893	2929	3121	11773	13894	12890	12897	13402	1	13	1	1	18931	26512	21633	23612	53.336	31.612
90	ce	one_share	one_share_host_to_all_device_ce_multi_stream	8	16	round-robin	stream	barrier	off	512	128	0		1	22967	29.934	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_one_share_d8_s16_round_robin_stream.log	1894	2485	2118	2079	2401						1	9	1	1	14717	309064	16662	17575		29.934
91	ffts	one_share	one_share_host_to_all_device_ffts_direct_h2d	8	16	round-robin	event	barrier	off	512	128	0	105.396	1	13381	51.379	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_one_share_d8_s16_round_robin_event.log	2401	3232	2774	2784	2963	6458	6562	6523	6527	6544	1	9	1	1	9374	18217	13276	14822	105.396	51.379
92	ffts	one_share	one_share_host_to_all_device_ffts_direct_h2d	8	16	round-robin	stream	barrier	off	512	128	0		1	6650	103.383	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_one_share_d8_s16_round_robin_stream.log	2529	3471	2703	2684	2825						1	11	1	1	6621	6685	6651	6661		103.383
93	ce	all	all_host_to_all_device_ce_multi_stream	8	16	round-robin	event	barrier	off	512	128	0	90.117	1	15679	43.848	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_all_d8_s16_round_robin_event.log	2553	3720	3175	3176	3426	7060	8306	7629	7631	7922	0	20	1	1	12535	20646	15767	16723	90.117	43.848
94	ce	all	all_host_to_all_device_ce_multi_stream	8	16	round-robin	stream	barrier	off	512	128	0		1	9773	70.347	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_all_d8_s16_round_robin_stream.log	1723	3622	2671	2779	2879						1	11	1	1	7574	100503	9131	9664		70.347
95	ffts	all	all_host_to_all_device_ffts_direct_h2d	8	16	round-robin	event	barrier	off	512	128	0	161.234	1	8857	77.622	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_all_d8_s16_round_robin_event.log	3710	5020	4065	4067	4282	4194	5066	4264	4243	4325	1	19	1	1	6320	11397	8790	9499	161.234	77.622
96	ffts	all	all_host_to_all_device_ffts_direct_h2d	8	16	round-robin	stream	barrier	off	512	128	0		1	4390	156.606	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_all_d8_s16_round_robin_stream.log	3585	4284	3838	3805	4060						1	13	1	1	4351	4509	4389	4417		156.606
97	ce	one_share	one_share_host_to_all_device_ce_multi_stream	16	1	stream-major	event	barrier	off	512	128	0	31.05	1	44565	30.854	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_one_share_d16_s1_stream_major_event.log	2125	3788	2876	2904	3560	38424	75566	44284	42187	51599	1	18	1	1	39083	75685	42408	55147	31.05	30.854
98	ce	one_share	one_share_host_to_all_device_ce_multi_stream	16	1	stream-major	stream	barrier	off	512	128	0		1	52955	25.965	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_one_share_d16_s1_stream_major_stream.log	2126	4163	2967	2899	3758						1	17	1	1	39514	78803	44514	74860		25.965
99	ffts	one_share	one_share_host_to_all_device_ffts_direct_h2d	16	1	stream-major	event	barrier	off	512	128	0	104.962	1	14144	97.214	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_one_share_d16_s1_stream_major_event.log	1673	2701	2076	2074	2310	13057	13153	13100	13098	13131	1	18	1	1	13976	14650	14123	14252	104.962	97.214
100	ffts	one_share	one_share_host_to_all_device_ffts_direct_h2d	16	1	stream-major	stream	barrier	off	512	128	0		1	13220	104.009	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_one_share_d16_s1_stream_major_stream.log	1974	2573	2105	2091	2190						1	7	1	1	13190	13255	13219	13238		104.009
101	ce	all	all_host_to_all_device_ce_multi_stream	16	1	stream-major	event	barrier	off	512	128	0	64.21	1	21585	63.702	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_all_d16_s1_stream_major_event.log	2396	20139	3357	3296	3658	19634	35237	21414	20734	22261	1	20	1	1	19806	35330	20924	22473	64.21	63.702
102	ce	all	all_host_to_all_device_ce_multi_stream	16	1	stream-major	stream	barrier	off	512	128	0		1	31320	43.902	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_all_d16_s1_stream_major_stream.log	2292	4393	2811	2821	3057						1	25	1	1	19208	36975	34520	35726		43.902
103	ffts	all	all_host_to_all_device_ffts_direct_h2d	16	1	stream-major	event	barrier	off	512	128	0	248.734	1	5935	231.676	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_all_d16_s1_stream_major_event.log	3005	4877	4303	4328	4607	5267	5895	5528	5520	5732	1	22	1	1	5626	7827	5836	6344	248.734	231.676
104	ffts	all	all_host_to_all_device_ffts_direct_h2d	16	1	stream-major	stream	barrier	off	512	128	0		1	6512	211.149	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_all_d16_s1_stream_major_stream.log	3101	4376	3503	3500	3729						1	22	1	1	6397	6746	6514	6562		211.149
105	ce	one_share	one_share_host_to_all_device_ce_multi_stream	16	1	round-robin	event	barrier	off	512	128	0	35.122	1	39327	34.963	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_one_share_d16_s1_round_robin_event.log	1947	3692	3094	2998	3601	33613	63126	39149	36474	53196	1	19	1	1	33787	63215	36639	53359	35.122	34.963
106	ce	one_share	one_share_host_to_all_device_ce_multi_stream	16	1	round-robin	stream	barrier	off	512	128	0		1	56310	24.418	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_one_share_d16_s1_round_robin_stream.log	2030	10600	3132	3077	3715						1	13	1	1	35900	67902	61390	65960		24.418
107	ffts	one_share	one_share_host_to_all_device_ffts_direct_h2d	16	1	round-robin	event	barrier	off	512	128	0	105.138	1	14131	97.304	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_one_share_d16_s1_round_robin_event.log	4875	8512	6154	6044	7109	13019	13164	13078	13072	13113	1	22	1	1	13920	14953	14091	14339	105.138	97.304
108	ffts	one_share	one_share_host_to_all_device_ffts_direct_h2d	16	1	round-robin	stream	barrier	off	512	128	0		1	13234	103.899	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_one_share_d16_s1_round_robin_stream.log	1738	3082	1965	1918	2248						1	1	1	1	13203	13370	13233	13250		103.899
109	ce	all	all_host_to_all_device_ce_multi_stream	16	1	round-robin	event	barrier	off	512	128	0	67.514	1	20529	66.978	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_all_d16_s1_round_robin_event.log	1842	20184	2806	2556	2940	18834	32755	20366	20067	21202	1	1	1	1	19019	32931	20217	21318	67.514	66.978
110	ce	all	all_host_to_all_device_ce_multi_stream	16	1	round-robin	stream	barrier	off	512	128	0		1	24536	56.04	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_all_d16_s1_round_robin_stream.log	2269	4296	3189	3302	3901						1	20	1	1	18937	36478	20831	35288		56.04
111	ffts	all	all_host_to_all_device_ffts_direct_h2d	16	1	round-robin	event	barrier	off	512	128	0	151.549	1	9618	142.961	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_all_d16_s1_round_robin_event.log	2428	4114	2769	2683	3114	8903	9262	9073	9072	9159	1	41	1	1	9394	10822	9584	9734	151.549	142.961
112	ffts	all	all_host_to_all_device_ffts_direct_h2d	16	1	round-robin	stream	barrier	off	512	128	0		1	6384	215.382	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_all_d16_s1_round_robin_stream.log	2673	4297	3019	2989	3290						1	18	1	1	6288	6766	6378	6466		215.382
113	ce	one_share	one_share_host_to_all_device_ce_multi_stream	16	4	stream-major	event	barrier	off	512	128	0	66.493	1	26932	51.055	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_one_share_d16_s4_stream_major_event.log	1960	3190	2509	2573	3043	17332	27835	20679	20687	21586	1	1	1	1	25266	30624	26874	27543	66.493	51.055
114	ce	one_share	one_share_host_to_all_device_ce_multi_stream	16	4	stream-major	stream	barrier	off	512	128	0		1	30112	45.663	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_one_share_d16_s4_stream_major_stream.log	2014	4581	2712	2526	3373						1	1	1	1	18475	117063	21297	29904		45.663
115	ffts	one_share	one_share_host_to_all_device_ffts_direct_h2d	16	4	stream-major	event	barrier	off	512	128	0	104.658	1	15287	89.946	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_one_share_d16_s4_stream_major_event.log	4389	7955	5429	5274	6182	13065	13253	13138	13140	13173	1	17	1	1	14217	16959	15267	15853	104.658	89.946
116	ffts	one_share	one_share_host_to_all_device_ffts_direct_h2d	16	4	stream-major	stream	barrier	off	512	128	0		1	13272	103.602	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_one_share_d16_s4_stream_major_stream.log	3941	7779	5166	4933	6583						1	24	1	1	13195	13388	13265	13336		103.602
117	ce	all	all_host_to_all_device_ce_multi_stream	16	4	stream-major	event	barrier	off	512	128	0	117.823	1	16363	84.031	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_all_d16_s4_stream_major_event.log	2593	3959	3212	3190	3622	10202	17922	11670	11656	12089	1	1	1	1	15258	18253	16331	16979	117.823	84.031
118	ce	all	all_host_to_all_device_ce_multi_stream	16	4	stream-major	stream	barrier	off	512	128	0		1	19862	69.228	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_all_d16_s4_stream_major_stream.log	2490	3814	3018	2977	3540						1	8	1	1	10645	112291	12956	17794		69.228
119	ffts	all	all_host_to_all_device_ffts_direct_h2d	16	4	stream-major	event	barrier	off	512	128	0	229.549	1	7071	194.456	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_all_d16_s4_stream_major_event.log	2140	4274	2791	2744	3152	5939	6151	5990	5986	6034	1	9	1	1	6191	8200	7056	7670	229.549	194.456
120	ffts	all	all_host_to_all_device_ffts_direct_h2d	16	4	stream-major	stream	barrier	off	512	128	0		32	5393	254.96	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_all_d16_s4_stream_major_stream.log	2382	4289	2588	2525	2773						1	3921	1	1	5314	6431	5382	5421		254.96
121	ce	one_share	one_share_host_to_all_device_ce_multi_stream	16	4	round-robin	event	barrier	off	512	128	0	62.432	1	29809	46.127	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_one_share_d16_s4_round_robin_event.log	2089	3580	3003	3037	3200	19589	23972	22024	22150	23378	1	31	1	1	28327	41262	29723	30319	62.432	46.127
122	ce	one_share	one_share_host_to_all_device_ce_multi_stream	16	4	round-robin	stream	barrier	off	512	128	0		1	32007	42.959	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_one_share_d16_s4_round_robin_stream.log	2278	4150	3576	3802	3999						1	19	1	1	20664	121019	23756	36744		42.959
123	ffts	one_share	one_share_host_to_all_device_ffts_direct_h2d	16	4	round-robin	event	barrier	off	512	128	0	105.834	1	15831	86.855	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_one_share_d16_s4_round_robin_event.log	7399	10633	8453	8392	9056	12934	13696	12992	12982	13040	1	10	1	1	15010	23991	15763	16109	105.834	86.855
124	ffts	one_share	one_share_host_to_all_device_ffts_direct_h2d	16	4	round-robin	stream	barrier	off	512	128	0		1	13140	104.642	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_one_share_d16_s4_round_robin_stream.log	2037	8821	7648	7656	8138						1	15	1	1	13107	13949	13131	13152		104.642
125	ce	all	all_host_to_all_device_ce_multi_stream	16	4	round-robin	event	barrier	off	512	128	0	120.699	1	17422	78.923	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_all_d16_s4_round_robin_event.log	2725	18289	3518	3124	3907	10069	18892	11392	11319	11987	1	19	1	1	16671	22055	17334	17893	120.699	78.923
126	ce	all	all_host_to_all_device_ce_multi_stream	16	4	round-robin	stream	barrier	off	512	128	0		1	20230	67.968	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_all_d16_s4_round_robin_stream.log	2237	4119	2702	2654	3138						1	11	1	1	10012	111435	11791	17254		67.968
127	ffts	all	all_host_to_all_device_ffts_direct_h2d	16	4	round-robin	event	barrier	off	512	128	0	230.087	1	7343	187.253	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_all_d16_s4_round_robin_event.log	3714	6124	4594	4523	5218	5869	6075	5976	5968	6028	1	21	1	1	6505	9703	7129	8362	230.087	187.253
128	ffts	all	all_host_to_all_device_ffts_direct_h2d	16	4	round-robin	stream	barrier	off	512	128	0		1	5342	257.394	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_all_d16_s4_round_robin_stream.log	2809	5289	3828	3964	4212						1	48	1	1	5245	5428	5345	5383		257.394
129	ce	one_share	one_share_host_to_all_device_ce_multi_stream	16	16	stream-major	event	barrier	off	512	128	0	60.597	1	37369	36.795	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_one_share_d16_s16_stream_major_event.log	2532	5308	2955	2862	3412	19448	32218	22691	22661	23777	1	12	1	1	31669	44181	37179	40995	60.597	36.795
130	ce	one_share	one_share_host_to_all_device_ce_multi_stream	16	16	stream-major	stream	barrier	off	512	128	0		1	26865	51.182	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_one_share_d16_s16_stream_major_stream.log	2352	3339	2711	2642	3210						1	29	1	1	18535	202379	22692	24761		51.182
131	ffts	one_share	one_share_host_to_all_device_ffts_direct_h2d	16	16	stream-major	event	barrier	off	512	128	0	105.348	1	20268	67.841	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_one_share_d16_s16_stream_major_event.log	1794	2323	2043	2058	2193	13018	13094	13052	13052	13070	1	1	1	1	15881	25345	20647	22327	105.348	67.841
132	ffts	one_share	one_share_host_to_all_device_ffts_direct_h2d	16	16	stream-major	stream	barrier	off	512	128	0		1	13161	104.475	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_one_share_d16_s16_stream_major_stream.log	1523	2641	1930	1878	2365						1	1	1	1	13134	13558	13155	13166		104.475
133	ce	all	all_host_to_all_device_ce_multi_stream	16	16	stream-major	event	barrier	off	512	128	0	128.577	2	25384	54.168	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_all_d16_s16_stream_major_event.log	2480	3811	3107	2985	3673	9350	15888	10694	10795	11342	1	162	1	1	20296	39019	25182	28116	128.577	54.168
134	ce	all	all_host_to_all_device_ce_multi_stream	16	16	stream-major	stream	barrier	off	512	128	0		1	14821	92.774	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_all_d16_s16_stream_major_stream.log	2192	3377	2894	2963	3210						1	7	1	1	9608	107000	12890	14190		92.774
135	ffts	all	all_host_to_all_device_ffts_direct_h2d	16	16	stream-major	event	barrier	off	512	128	0	228.976	1	19072	72.095	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_all_d16_s16_stream_major_event.log	3313	5168	3713	3558	4204	5908	6091	6005	6009	6045	1	21	1	1	17025	44627	18194	20761	228.976	72.095
136	ffts	all	all_host_to_all_device_ffts_direct_h2d	16	16	stream-major	stream	barrier	off	512	128	0		1	6967	197.359	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_all_d16_s16_stream_major_stream.log	2396	4038	2658	2574	2808						1	9	1	1	6916	7046	6967	6995		197.359
137	ce	one_share	one_share_host_to_all_device_ce_multi_stream	16	16	round-robin	event	barrier	off	512	128	0	61.45	6	38386	35.82	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_one_share_d16_s16_round_robin_event.log	2573	4788	3428	3437	3655	19142	39688	22376	22021	23177	1	710	1	1	34955	46877	37813	41171	61.45	35.82
138	ce	one_share	one_share_host_to_all_device_ce_multi_stream	16	16	round-robin	stream	barrier	off	512	128	0		1	28874	47.621	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_one_share_d16_s16_round_robin_stream.log	2346	27023	3179	2961	3239						1	1	1	1	19671	117643	23626	25990		47.621
139	ffts	one_share	one_share_host_to_all_device_ffts_direct_h2d	16	16	round-robin	event	barrier	off	512	128	0	105.591	1	24825	55.388	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_one_share_d16_s16_round_robin_event.log	7855	10152	8675	8661	9141	12925	13116	13022	13021	13077	1	22	1	1	21309	32890	24511	26576	105.591	55.388
140	ffts	one_share	one_share_host_to_all_device_ffts_direct_h2d	16	16	round-robin	stream	barrier	off	512	128	0		1	13168	104.42	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_one_share_d16_s16_round_robin_stream.log	2415	8923	7816	7779	8403						1	9	1	1	13128	13970	13162	13182		104.42
141	ce	all	all_host_to_all_device_ce_multi_stream	16	16	round-robin	event	barrier	off	512	128	0	129.815	1	25593	53.726	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_all_d16_s16_round_robin_event.log	2639	4487	3289	3255	3609	9389	12094	10592	10324	11601	1	1	1	1	20862	35280	25366	28030	129.815	53.726
142	ce	all	all_host_to_all_device_ce_multi_stream	16	16	round-robin	stream	barrier	off	512	128	0		1	15176	90.604	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_all_d16_s16_round_robin_stream.log	2259	3614	2587	2497	3149						1	1	1	1	9798	109899	13241	14270		90.604
143	ffts	all	all_host_to_all_device_ffts_direct_h2d	16	16	round-robin	event	barrier	off	512	128	0	200.058	1	17493	78.603	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_all_d16_s16_round_robin_event.log	3428	5356	4246	4235	4890	6751	6969	6873	6874	6924	1	19	1	1	14449	20964	17312	18966	200.058	78.603
144	ffts	all	all_host_to_all_device_ffts_direct_h2d	16	16	round-robin	stream	barrier	off	512	128	0		1	6992	196.653	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_all_d16_s16_round_robin_stream.log	2306	5358	3690	3713	4254						1	42	1	1	6954	7151	6991	7020		196.653
