method	host_mode	case_name	devices	streams	submit_mode	stream_sync	process_sync	stream_start_gate	blocks	iterations	exit_code	dev_bw_gbps	start_skew_avg_us	group_wall_avg_us	wall_bw_gbps	log
ffts	all	all_host_to_all_device_ffts_direct_h2d	16	1	round-robin	event	barrier	off	512	128	0	151.549	1	9618	142.961	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_all_d16_s1_round_robin_event.log
ffts	all	all_host_to_all_device_ffts_direct_h2d	16	1	round-robin	stream	barrier	off	512	128	0	N/A	1	6384	215.382	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_all_d16_s1_round_robin_stream.log
ce	one_share	one_share_host_to_all_device_ce_multi_stream	16	4	stream-major	event	barrier	off	512	128	0	66.493	1	26932	51.055	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_one_share_d16_s4_stream_major_event.log
ce	one_share	one_share_host_to_all_device_ce_multi_stream	16	4	stream-major	stream	barrier	off	512	128	0	N/A	1	30112	45.663	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_one_share_d16_s4_stream_major_stream.log
ffts	one_share	one_share_host_to_all_device_ffts_direct_h2d	16	4	stream-major	event	barrier	off	512	128	0	104.658	1	15287	89.946	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_one_share_d16_s4_stream_major_event.log
ffts	one_share	one_share_host_to_all_device_ffts_direct_h2d	16	4	stream-major	stream	barrier	off	512	128	0	N/A	1	13272	103.602	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_one_share_d16_s4_stream_major_stream.log
ce	all	all_host_to_all_device_ce_multi_stream	16	4	stream-major	event	barrier	off	512	128	0	117.823	1	16363	84.031	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_all_d16_s4_stream_major_event.log
ce	all	all_host_to_all_device_ce_multi_stream	16	4	stream-major	stream	barrier	off	512	128	0	N/A	1	19862	69.228	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_all_d16_s4_stream_major_stream.log
ffts	all	all_host_to_all_device_ffts_direct_h2d	16	4	stream-major	event	barrier	off	512	128	0	229.549	1	7071	194.456	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_all_d16_s4_stream_major_event.log
ffts	all	all_host_to_all_device_ffts_direct_h2d	16	4	stream-major	stream	barrier	off	512	128	0	N/A	32	5393	254.960	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_all_d16_s4_stream_major_stream.log
ce	one_share	one_share_host_to_all_device_ce_multi_stream	16	4	round-robin	event	barrier	off	512	128	0	62.432	1	29809	46.127	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_one_share_d16_s4_round_robin_event.log
ce	one_share	one_share_host_to_all_device_ce_multi_stream	16	4	round-robin	stream	barrier	off	512	128	0	N/A	1	32007	42.959	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_one_share_d16_s4_round_robin_stream.log
ffts	one_share	one_share_host_to_all_device_ffts_direct_h2d	16	4	round-robin	event	barrier	off	512	128	0	105.834	1	15831	86.855	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_one_share_d16_s4_round_robin_event.log
ffts	one_share	one_share_host_to_all_device_ffts_direct_h2d	16	4	round-robin	stream	barrier	off	512	128	0	N/A	1	13140	104.642	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_one_share_d16_s4_round_robin_stream.log
ce	all	all_host_to_all_device_ce_multi_stream	16	4	round-robin	event	barrier	off	512	128	0	120.699	1	17422	78.923	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_all_d16_s4_round_robin_event.log
ce	all	all_host_to_all_device_ce_multi_stream	16	4	round-robin	stream	barrier	off	512	128	0	N/A	1	20230	67.968	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_all_d16_s4_round_robin_stream.log
ffts	all	all_host_to_all_device_ffts_direct_h2d	16	4	round-robin	event	barrier	off	512	128	0	230.087	1	7343	187.253	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_all_d16_s4_round_robin_event.log
ffts	all	all_host_to_all_device_ffts_direct_h2d	16	4	round-robin	stream	barrier	off	512	128	0	N/A	1	5342	257.394	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_all_d16_s4_round_robin_stream.log
ce	one_share	one_share_host_to_all_device_ce_multi_stream	16	16	stream-major	event	barrier	off	512	128	0	60.597	1	37369	36.795	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_one_share_d16_s16_stream_major_event.log
ce	one_share	one_share_host_to_all_device_ce_multi_stream	16	16	stream-major	stream	barrier	off	512	128	0	N/A	1	26865	51.182	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_one_share_d16_s16_stream_major_stream.log
ffts	one_share	one_share_host_to_all_device_ffts_direct_h2d	16	16	stream-major	event	barrier	off	512	128	0	105.348	1	20268	67.841	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_one_share_d16_s16_stream_major_event.log
ffts	one_share	one_share_host_to_all_device_ffts_direct_h2d	16	16	stream-major	stream	barrier	off	512	128	0	N/A	1	13161	104.475	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_one_share_d16_s16_stream_major_stream.log
ce	all	all_host_to_all_device_ce_multi_stream	16	16	stream-major	event	barrier	off	512	128	0	128.577	2	25384	54.168	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_all_d16_s16_stream_major_event.log
ce	all	all_host_to_all_device_ce_multi_stream	16	16	stream-major	stream	barrier	off	512	128	0	N/A	1	14821	92.774	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_all_d16_s16_stream_major_stream.log
ffts	all	all_host_to_all_device_ffts_direct_h2d	16	16	stream-major	event	barrier	off	512	128	0	228.976	1	19072	72.095	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_all_d16_s16_stream_major_event.log
ffts	all	all_host_to_all_device_ffts_direct_h2d	16	16	stream-major	stream	barrier	off	512	128	0	N/A	1	6967	197.359	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_all_d16_s16_stream_major_stream.log
ce	one_share	one_share_host_to_all_device_ce_multi_stream	16	16	round-robin	event	barrier	off	512	128	0	61.450	6	38386	35.820	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_one_share_d16_s16_round_robin_event.log
ce	one_share	one_share_host_to_all_device_ce_multi_stream	16	16	round-robin	stream	barrier	off	512	128	0	N/A	1	28874	47.621	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_one_share_d16_s16_round_robin_stream.log
ffts	one_share	one_share_host_to_all_device_ffts_direct_h2d	16	16	round-robin	event	barrier	off	512	128	0	105.591	1	24825	55.388	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_one_share_d16_s16_round_robin_event.log
ffts	one_share	one_share_host_to_all_device_ffts_direct_h2d	16	16	round-robin	stream	barrier	off	512	128	0	N/A	1	13168	104.420	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_one_share_d16_s16_round_robin_stream.log
ce	all	all_host_to_all_device_ce_multi_stream	16	16	round-robin	event	barrier	off	512	128	0	129.815	1	25593	53.726	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_all_d16_s16_round_robin_event.log
ce	all	all_host_to_all_device_ce_multi_stream	16	16	round-robin	stream	barrier	off	512	128	0	N/A	1	15176	90.604	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_all_d16_s16_round_robin_stream.log
ffts	all	all_host_to_all_device_ffts_direct_h2d	16	16	round-robin	event	barrier	off	512	128	0	200.058	1	17493	78.603	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_all_d16_s16_round_robin_event.log
ffts	all	all_host_to_all_device_ffts_direct_h2d	16	16	round-robin	stream	barrier	off	512	128	0	N/A	1	6992	196.653	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_all_d16_s16_round_robin_stream.log
