method	host_mode	case_name	devices	streams	submit_mode	stream_sync	process_sync	stream_start_gate	blocks	iterations	exit_code	dev_bw_gbps	start_skew_avg_us	group_wall_avg_us	wall_bw_gbps	log
ffts	one_share	one_share_host_to_all_device_ffts_direct_h2d	1	4	round-robin	event	barrier	off	512	128	0	45.446	0	2135	40.252	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_one_share_d1_s4_round_robin_event.log
ffts	one_share	one_share_host_to_all_device_ffts_direct_h2d	1	4	round-robin	stream	barrier	off	512	128	0	N/A	0	1951	44.048	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_one_share_d1_s4_round_robin_stream.log
ce	all	all_host_to_all_device_ce_multi_stream	1	4	round-robin	event	barrier	off	512	128	0	12.819	0	8174	10.514	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_all_d1_s4_round_robin_event.log
ce	all	all_host_to_all_device_ce_multi_stream	1	4	round-robin	stream	barrier	off	512	128	0	N/A	0	7273	11.816	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_all_d1_s4_round_robin_stream.log
ffts	all	all_host_to_all_device_ffts_direct_h2d	1	4	round-robin	event	barrier	off	512	128	0	36.461	0	2625	32.738	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_all_d1_s4_round_robin_event.log
ffts	all	all_host_to_all_device_ffts_direct_h2d	1	4	round-robin	stream	barrier	off	512	128	0	N/A	0	1896	45.326	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_all_d1_s4_round_robin_stream.log
ce	one_share	one_share_host_to_all_device_ce_multi_stream	1	16	stream-major	event	barrier	off	512	128	0	8.562	0	12325	6.973	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_one_share_d1_s16_stream_major_event.log
ce	one_share	one_share_host_to_all_device_ce_multi_stream	1	16	stream-major	stream	barrier	off	512	128	0	N/A	0	14226	6.041	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_one_share_d1_s16_stream_major_stream.log
ffts	one_share	one_share_host_to_all_device_ffts_direct_h2d	1	16	stream-major	event	barrier	off	512	128	0	49.503	0	1958	43.890	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_one_share_d1_s16_stream_major_event.log
ffts	one_share	one_share_host_to_all_device_ffts_direct_h2d	1	16	stream-major	stream	barrier	off	512	128	0	N/A	0	1787	48.090	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_one_share_d1_s16_stream_major_stream.log
ce	all	all_host_to_all_device_ce_multi_stream	1	16	stream-major	event	barrier	off	512	128	0	13.886	0	7369	11.662	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_all_d1_s16_stream_major_event.log
ce	all	all_host_to_all_device_ce_multi_stream	1	16	stream-major	stream	barrier	off	512	128	0	N/A	0	8080	10.636	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_all_d1_s16_stream_major_stream.log
ffts	all	all_host_to_all_device_ffts_direct_h2d	1	16	stream-major	event	barrier	off	512	128	0	48.171	0	2495	34.444	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_all_d1_s16_stream_major_event.log
ffts	all	all_host_to_all_device_ffts_direct_h2d	1	16	stream-major	stream	barrier	off	512	128	0	N/A	0	1731	49.646	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_all_d1_s16_stream_major_stream.log
ce	one_share	one_share_host_to_all_device_ce_multi_stream	1	16	round-robin	event	barrier	off	512	128	0	9.827	0	10863	7.911	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_one_share_d1_s16_round_robin_event.log
ce	one_share	one_share_host_to_all_device_ce_multi_stream	1	16	round-robin	stream	barrier	off	512	128	0	N/A	0	10568	8.132	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_one_share_d1_s16_round_robin_stream.log
ffts	one_share	one_share_host_to_all_device_ffts_direct_h2d	1	16	round-robin	event	barrier	off	512	128	0	52.210	0	1951	44.048	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_one_share_d1_s16_round_robin_event.log
ffts	one_share	one_share_host_to_all_device_ffts_direct_h2d	1	16	round-robin	stream	barrier	off	512	128	0	N/A	0	1689	50.881	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_one_share_d1_s16_round_robin_stream.log
ce	all	all_host_to_all_device_ce_multi_stream	1	16	round-robin	event	barrier	off	512	128	0	14.024	0	7916	10.856	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_all_d1_s16_round_robin_event.log
ce	all	all_host_to_all_device_ce_multi_stream	1	16	round-robin	stream	barrier	off	512	128	0	N/A	0	7098	12.107	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_all_d1_s16_round_robin_stream.log
ffts	all	all_host_to_all_device_ffts_direct_h2d	1	16	round-robin	event	barrier	off	512	128	0	32.491	0	3214	26.738	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_all_d1_s16_round_robin_event.log
ffts	all	all_host_to_all_device_ffts_direct_h2d	1	16	round-robin	stream	barrier	off	512	128	0	N/A	0	2065	41.616	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_all_d1_s16_round_robin_stream.log
ce	one_share	one_share_host_to_all_device_ce_multi_stream	8	1	stream-major	event	barrier	off	512	128	0	25.036	0	27606	24.904	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_one_share_d8_s1_stream_major_event.log
ce	one_share	one_share_host_to_all_device_ce_multi_stream	8	1	stream-major	stream	barrier	off	512	128	0	N/A	1	33319	20.634	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_one_share_d8_s1_stream_major_stream.log
ffts	one_share	one_share_host_to_all_device_ffts_direct_h2d	8	1	stream-major	event	barrier	off	512	128	0	84.418	1	8547	80.438	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_one_share_d8_s1_stream_major_event.log
ffts	one_share	one_share_host_to_all_device_ffts_direct_h2d	8	1	stream-major	stream	barrier	off	512	128	0	N/A	1	8211	83.729	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_one_share_d8_s1_stream_major_stream.log
ce	all	all_host_to_all_device_ce_multi_stream	8	1	stream-major	event	barrier	off	512	128	0	39.205	0	17651	38.950	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_all_d8_s1_stream_major_event.log
ce	all	all_host_to_all_device_ce_multi_stream	8	1	stream-major	stream	barrier	off	512	128	0	N/A	3	16972	40.508	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_all_d8_s1_stream_major_stream.log
